"","FirstName","LastName","Team","GP","GS","AVG","OPS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SB_ATT"
"1","BILLY","AMICK","Clemson","46","42",0.413,1.236,167,37,69,17,2,13,63,129,0.772,13,7,32,0,0.464,5,0,"2","2"
"2","YOHANDY","MORALES","Miami","61","61",0.408,1.188,240,58,98,13,0,20,70,171,0.713,30,4,55,9,0.475,4,0,"7","10"
"3","KYLE","TEEL","Virginia","65","65",0.399,1.117,258,67,103,25,0,13,69,167,0.647,33,4,37,5,0.47,3,0,"5","6"
"4","ANGELO","DISPIGNA","Georgia Tech","57","57",0.393,1.176,219,60,86,12,0,16,58,146,0.667,46,7,52,1,0.509,1,0,"8","10"
"5","CAM","CANNARELLA","Clemson","59","59",0.388,1.022,250,72,97,16,3,7,47,140,0.56,33,4,39,6,0.462,3,0,"24","29"
"6","GRIFF","O'FERRALL","Virginia","65","65",0.385,0.924,275,76,106,19,2,1,41,132,0.48,29,3,38,4,0.444,4,4,"16","18"
"7","KRISTIAN","CAMPBELL","Georgia Tech","45","45",0.376,1.033,173,50,65,16,1,4,24,95,0.549,29,11,17,5,0.484,4,0,"4","6"
"8","JACK","PAYTON","Louisville","48","47",0.374,1.114,179,43,67,10,1,12,41,115,0.642,22,12,41,1,0.472,1,0,"8","11"
"9","ETHAN","ANDERSON","Virginia","65","65",0.366,1.116,257,71,94,25,0,16,65,167,0.65,44,5,32,10,0.466,1,1,"0","1"
"10","JAKE","DELEO","Georgia Tech","57","57",0.365,1.077,249,60,91,23,3,14,52,162,0.651,23,6,48,2,0.426,4,1,"8","11"
"11","ETHAN","O'DONNELL","Virginia","65","65",0.365,1.07,252,72,92,18,1,14,58,154,0.611,36,12,54,4,0.459,5,6,"18","23"
"12","WILL","TAYLOR","Clemson","62","60",0.362,1.012,218,67,79,16,2,5,46,114,0.523,48,10,56,4,0.489,4,1,"11","11"
"13","PIERCE","BENNETT","Wake Forest","60","60",0.353,0.954,235,61,83,19,0,7,65,123,0.523,28,7,21,9,0.431,4,5,"1","1"
"14","NICK","KURTZ","Wake Forest","56","56",0.353,1.311,190,76,67,10,0,24,69,149,0.784,63,9,50,2,0.527,2,1,"5","5"
"15","CANNON","PEEBLES","NC State","46","39",0.352,1.153,142,30,50,11,1,12,50,99,0.697,27,1,29,3,0.456,1,1,"0","0"
"16","TOMMY","HAWKE","Wake Forest","66","66",0.351,0.965,271,73,95,19,1,7,35,137,0.506,51,4,51,1,0.459,1,0,"14","15"
