"game_date","location","attendance","inning","inning_top_bot","score","batting","fielding","description","year","game_pbp_url","game_pbp_id","inning_half","result_runs","current_runs","row_id","top_inning_flag","end_inning_flag","end_half_inning_runs","sub_fl","event_cd","bat_name","sub_in","sub_out","game_end","new_game","r1_name","r2_name","r3_name","outs_on_play","outs_before","outs_after","base_cd_before","hit_type","int_bb_fl","sh_fl","sf_fl","base_cd_after","runs_to_end"
"02/17/2023","Raleigh, N.C.",NA,"1","top","0-0","Wagner","NC State","KOBAYASHI, M popped up to 2b (0-0).",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,1,0,0,1,1,0,0,0,2,"KOBAYASHI, M ","","",0,1,"","","",1,0,1,0,"GO",0,0,0,0,0
"02/17/2023","Raleigh, N.C.",NA,"1","top","0-0","Wagner","NC State","CONNIFF, C grounded out to p (1-2 BKK).",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,1,0,0,2,0,0,0,0,2,"CONNIFF, C ","","",0,0,"","","",1,1,2,0,"GO",0,0,0,0,0
"02/17/2023","Raleigh, N.C.",NA,"1","top","0-0","Wagner","NC State","FAICCHIO, D singled to right field (0-1 F).",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,1,0,0,3,0,0,0,0,20,"FAICCHIO, D ","","",0,0,"","","",0,2,2,0,"",0,0,0,1,0
"02/17/2023","Raleigh, N.C.",NA,"1","top","0-0","Wagner","NC State","MATTHEWS, M flied out to lf (1-2 SBF).",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,1,0,0,4,0,1,0,0,2,"MATTHEWS, M ","","",0,0,"FAICCHIO, D","","",1,2,3,1,"FO",0,0,0,NA,0
"02/17/2023","Raleigh, N.C.",NA,"1","bot","0-0","NC State","Wagner","Soles singled up the middle (0-0).",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,2,0,0,5,1,0,2,0,20,"Soles ","","",0,0,"","","",0,0,0,0,"",0,0,0,1,2
"02/17/2023","Raleigh, N.C.",NA,"1","bot","0-0","NC State","Wagner","Groover III popped up to 2b (2-2 FBBF).",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,2,0,0,6,0,0,2,0,2,"Groover III ","","",0,0,"Soles","","",1,0,1,1,"GO",0,0,0,1,2
"02/17/2023","Raleigh, N.C.",NA,"1","bot","0-0","NC State","Wagner","Trice singled through the left side (1-0 B)3a Soles advanced to second.",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,2,0,0,7,0,0,2,0,20,"Trice ","","",0,0,"Soles","","",0,1,1,1,"",0,0,0,3,2
"02/17/2023","Raleigh, N.C.",NA,"1","bot","0-0","NC State","Wagner","Candelaria singled to center field (1-1 BK)3a Trice advanced to second3a Soles advanced to third.",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,2,0,0,8,0,0,2,0,20,"Candelaria ","","",0,0,"Trice","Soles","",0,1,1,3,"",0,0,0,7,2
"02/17/2023","Raleigh, N.C.",NA,"1","bot","0-2","NC State","Wagner","Green singled up the middle, 2 RBI (0-1 K)3a Candelaria advanced to second3a Trice scored3a Soles scored.",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,2,2,0,9,0,0,2,0,20,"Green ","","",0,0,"Candelaria","Trice","Soles",0,1,1,7,"",0,0,0,3,2
"02/17/2023","Raleigh, N.C.",NA,"1","bot","0-2","NC State","Wagner","Marcy grounded into double play 3b to 1b (2-2 BBKF)3a Green advanced to second3a Candelaria out on the play.",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,2,2,2,10,0,1,2,0,2,"Marcy ","","",0,0,"Green","Candelaria","",2,1,3,3,"GO",0,0,0,NA,0
"02/17/2023","Raleigh, N.C.",NA,"2","top","0-2","Wagner","NC State","BEY, Cody singled up the middle (0-0).",2023,"https://stats.ncaa.org/game/play_by_play/5412098",5412098,3,2,2,11,1,0,2,0,20,"BEY, Cody ","","",0,0,"","","",0,0,0,0,"",0,0,0,1,0
