FirstName,LastName,Team,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,
Justin,Starke,VMI.........,.392,55-55,212,62,83,15,2,13,52,141,.665,39,6,44,2,.487,6,0,32-38,
Nick,Iannantone,ETSU......,.389,49-46,175,41,68,14,3,3,27,97,.554,23,4,25,1,.468,1,1,2-2,
Treyson,Hughes,MER........,.387,58-58,222,74,86,15,0,11,52,134,.604,47,7,35,5,.504,2,1,9-11,
Cameron,Sisneros,ETSU.....,.383,55-55,214,45,82,18,0,16,59,148,.692,29,7,24,5,.472,0,0,3-3,
Ryan,Galanie,WOF..........,.383,58-58,230,73,88,15,0,17,66,154,.670,40,9,39,2,.491,0,0,19-24,
Cameron,Gill,WOF..........,.368,53-49,174,49,64,7,0,2,41,77,.443,29,14,32,4,.486,3,2,16-19,
Trey,Yunger,WOF...........,.360,58-58,225,55,81,17,1,4,49,112,.498,32,8,36,4,.446,6,7,26-34,
Jayden,Davis,SAM..........,.358,60-58,229,48,82,13,1,9,38,124,.541,37,4,33,4,.452,2,0,0-0,
Kennedy,Jones,UNCG........,.357,59-59,241,46,86,14,1,14,43,144,.598,26,13,44,4,.445,1,0,5-7,
Brice,Martinez,WOF........,.352,58-58,213,45,75,8,3,0,45,89,.418,32,12,30,8,.458,3,12,16-21,
Cole,Garrett,VMI..........,.350,55-55,200,53,70,17,0,13,53,126,.630,30,4,28,1,.437,4,8,5-8,
Cole,Jenkins,VMI..........,.350,55-55,206,47,72,19,3,11,50,130,.631,15,5,53,3,.402,3,5,9-13,
Ty,Swaim,VMI..............,.348,55-55,244,57,85,20,4,2,34,119,.488,18,6,36,2,.405,1,6,35-43,
Trey,Morgan,VMI...........,.345,55-55,220,52,76,16,2,6,42,114,.518,29,7,43,2,.436,1,3,26-32,
Eric,Toth,MER.............,.329,56-56,207,50,68,7,0,20,53,135,.652,31,13,47,4,.443,2,0,3-4,
Pascanel,Ferreras,WCU.....,.325,54-54,209,51,68,16,0,12,53,120,.574,33,10,34,9,.435,3,0,2-3,
Thomas,Rollauer,CIT.......,.324,52-52,204,38,66,15,0,4,34,93,.456,20,3,39,5,.390,1,1,9-12,
Travis,Lott,CIT...........,.321,54-54,187,38,60,10,1,5,32,87,.465,31,17,36,1,.454,3,1,2-2,
Cody,Miller,ETSU..........,.318,51-49,195,41,62,6,2,2,19,78,.400,25,3,38,1,.402,1,4,10-11,
Zac,Morris,VMI............,.317,55-55,205,48,65,13,2,10,49,112,.546,24,11,38,3,.408,5,6,25-33,
Lucas,Steele,SAM..........,.315,61-57,203,43,64,15,1,16,51,129,.635,27,8,51,2,.404,7,0,0-0,
Dixon,Black,WOF...........,.315,59-59,232,55,73,13,2,7,46,111,.478,31,12,41,4,.416,4,5,14-20,
Stephen,Klein,SAM.........,.315,61-60,213,45,67,16,2,8,41,111,.521,39,21,25,4,.458,4,0,1-2,
Sawyer,Reeves,CIT.........,.314,54-54,210,49,66,16,1,4,37,96,.457,20,3,27,3,.377,3,4,13-15,
Marshall,Toole,WOF........,.309,54-54,207,60,64,9,0,4,34,85,.411,33,9,66,0,.419,4,12,23-29,
Cole,Jones,WCU............,.308,40-35,133,17,41,10,0,6,30,69,.519,9,1,32,2,.354,1,4,1-1,
David,Wiley,WOF...........,.308,46-45,159,48,49,8,6,4,45,81,.509,25,6,33,4,.408,6,5,9-13,
Noah,Mitchell,CIT.........,.308,53-53,195,32,60,16,4,5,44,99,.508,23,2,36,5,.381,3,1,5-5,
Dosi,Jonas,UNCG...........,.306,51-48,183,27,56,15,0,14,46,113,.617,17,3,45,3,.369,3,0,2-2,
Brandon,Butterwort,WCU....,.301,52-52,219,42,66,10,7,5,37,105,.479,21,4,33,2,.370,2,3,7-8,
Garrett,Howe,SAM..........,.296,62-62,223,40,66,14,0,2,27,86,.386,29,2,31,5,.379,2,5,10-14,
Jordan,Starkes,WCU........,.293,48-47,188,37,55,6,1,4,21,75,.399,30,3,40,2,.395,2,0,4-6,
Noah,Webb,ETSU............,.292,39-36,130,24,38,5,0,5,21,58,.446,20,2,23,3,.395,0,0,0-0,
Crosby,Jones,CIT..........,.291,45-39,148,14,43,7,0,3,18,59,.399,8,1,23,0,.329,1,2,0-0,
Tommy,Barth,ETSU..........,.289,47-47,204,36,59,16,2,3,29,88,.431,9,5,26,3,.333,1,1,9-12,
Jozsef,Rohrbacher,MER.....,.288,58-58,215,54,62,9,0,19,51,128,.595,39,9,54,4,.415,2,4,5-6,
Ashton,King,ETSU..........,.285,50-50,186,28,53,6,1,6,37,79,.425,14,6,42,5,.349,3,1,4-5,
Garrett,Wallace,ETSU......,.284,53-51,197,43,56,10,0,9,45,93,.472,24,4,60,4,.364,6,0,0-1,
GC,Jarman,UNCG............,.284,54-53,190,33,54,7,0,0,24,61,.321,26,9,35,4,.389,4,1,11-14,
Grayson,Fitzwater,VMI.....,.284,51-50,162,36,46,12,0,6,31,76,.469,21,10,61,3,.397,1,6,7-8,
Zack,Budzik,UNCG..........,.284,57-56,222,47,63,12,1,5,36,92,.414,25,4,39,1,.361,4,2,17-20,
Daniel,Cerda,UNCG.........,.281,55-51,178,34,50,4,2,5,16,73,.410,21,11,38,4,.389,1,6,9-13,
Wells,Sykes,CIT...........,.278,51-51,194,32,54,9,4,0,25,71,.366,9,2,29,3,.316,1,6,11-11,
Andrew,Bennett,SAM........,.278,54-44,162,29,45,6,3,9,23,84,.519,15,7,34,1,.364,0,0,1-3,
Josh,Rodriguez,SAM........,.275,55-46,167,34,46,8,1,12,36,92,.551,18,6,44,2,.359,4,2,2-4,
James,Hinson,WCU..........,.275,47-41,167,34,46,9,2,12,34,95,.569,16,5,37,2,.354,1,0,0-0,
Jack,Renwick,WOF..........,.273,57-57,183,36,50,9,3,4,36,77,.421,17,3,65,0,.340,3,28,16-21,
Garrett,Staton,SAM........,.273,58-58,231,49,63,13,0,10,38,106,.459,24,11,40,3,.366,2,5,11-14,
Trevor,Austin,MER.........,.273,56-56,209,38,57,4,1,0,28,63,.301,22,7,40,4,.352,6,7,4-7,
Noah,Gent,ETSU............,.272,39-38,147,22,40,7,0,5,28,62,.422,19,2,18,9,.353,5,1,0-0,
Mitchell,Smith,UNCG.......,.271,57-57,225,33,61,12,2,6,39,95,.422,22,7,56,1,.350,3,0,6-6,
John,Anderson,SAM.........,.271,59-59,229,49,62,13,2,22,60,145,.633,24,5,57,4,.349,3,1,1-2,
Travis,Elliott,CIT........,.270,45-41,141,25,38,10,0,0,17,48,.340,10,12,23,3,.366,1,5,1-4,
Bradley,Frye,MER..........,.263,55-53,186,30,49,8,1,4,27,71,.382,23,4,44,2,.350,4,6,6-8,
Zach,Ketterman,WCU........,.261,54-54,203,48,53,17,1,9,50,99,.488,39,5,70,1,.382,7,1,1-4,
Ty,Dalley,MER.............,.259,58-54,189,39,49,10,0,18,56,113,.598,26,7,45,3,.366,2,0,2-3,
Brett,Cook,VMI............,.258,52-50,182,47,47,11,1,8,34,84,.462,23,7,41,3,.355,5,2,26-29,
Kaden,Dreier,SAM..........,.258,51-47,155,26,40,5,1,7,30,68,.439,24,5,28,3,.373,1,2,1-1,
Jack,Spyke,WCU............,.251,51-49,187,35,47,6,0,2,27,59,.316,27,3,28,2,.353,1,4,0-0,
Nate,Stocum,WCU...........,.243,54-52,218,41,53,11,0,13,45,103,.472,20,4,51,2,.317,1,1,4-5,
Bradley,Bott,UNCG.........,.228,57-50,149,23,34,7,0,2,23,47,.315,29,7,27,1,.376,1,3,4-8,
Dallas,Callahan,UNCG......,.195,55-53,164,21,32,6,0,7,30,59,.360,37,2,50,1,.346,2,6,1-2,
Sam,Stewart,MER...........,.667,4-1,3,1,2,1,0,1,3,6,2.000,2,0,1,0,.800,0,0,0-0,
Jackson,Green,ETSU........,.350,11-6,20,5,7,2,0,0,3,9,.450,2,0,7,1,.409,0,1,2-2,
Jackson,Cherry,MER........,.339,39-36,121,23,41,7,1,12,27,86,.711,10,8,26,2,.421,1,0,0-0,
Landen,Morrison,WCU.......,.338,24-15,68,12,23,5,0,2,13,34,.500,6,2,23,2,.403,1,0,1-1,
Jacob,Farrar,VMI..........,.333,5-0,3,2,1,0,0,0,0,1,.333,2,0,2,0,.600,0,0,1-1,
Skyler,Cannady,ETSU.......,.329,32-24,85,16,28,3,0,1,9,34,.400,12,3,13,3,.422,2,3,4-5,
Antonio,Brown,MER.........,.306,47-25,98,35,30,4,0,6,19,52,.531,21,4,22,1,.444,1,10,5-7,
Luke,Jenkins,UNCG.........,.303,40-27,99,14,30,5,1,0,10,37,.374,14,0,24,1,.383,2,2,3-3,
Ethan,Plyler,ETSU.........,.300,12-11,40,6,12,0,0,1,3,15,.375,5,0,10,2,.378,0,0,2-3,
Carter,Sanford,MER........,.296,31-29,108,24,32,2,0,10,36,64,.593,8,5,24,0,.366,2,2,0-1,
Jimmy,Koza,VMI............,.278,37-31,108,21,30,9,1,1,20,44,.407,12,2,34,1,.358,1,3,11-14,
James,Newsome,VMI.........,.278,14-1,18,3,5,1,0,1,6,9,.500,1,1,7,0,.350,0,0,3-3,
Matthew,Lively,CIT........,.275,30-20,69,10,19,3,3,1,13,31,.449,9,3,26,1,.378,1,3,5-8,
Jed,Barrett,VMI...........,.274,23-19,62,9,17,1,1,3,12,29,.468,4,5,28,0,.361,1,1,4-5,
Max,Kops,MER..............,.273,27-4,33,7,9,2,0,2,9,17,.515,6,4,15,0,.432,1,2,0-0,
Kyle,Riesselmann,WCU......,.267,32-25,86,18,23,4,0,1,9,30,.349,10,3,27,1,.364,0,1,4-4,
Caleb,Cozart,UNCG.........,.267,39-26,105,19,28,5,0,7,21,54,.514,15,5,29,0,.384,0,0,3-4,
Rowan,Watt,UNCG...........,.259,40-28,108,18,28,2,1,4,10,44,.407,11,4,42,0,.347,1,0,4-5,
Luke,Montenery,CIT........,.256,33-24,90,17,23,5,0,0,15,28,.311,10,1,24,4,.333,1,5,1-1,
Carter,Geier,MER..........,.255,38-33,106,23,27,4,0,2,15,37,.349,15,2,32,1,.358,0,3,2-2,
Anthony,Badala,CIT........,.255,39-30,106,14,27,3,0,5,18,45,.425,13,0,36,4,.336,0,1,0-0,
Reid,Brown,MER............,.250,25-13,44,8,11,2,0,0,4,13,.295,5,4,16,1,.377,0,0,1-1,
Ryan,Enos,ETSU............,.250,16-10,32,7,8,4,0,1,7,15,.469,5,1,9,1,.368,0,0,2-3,
Justin,Hanvey,ETSU........,.250,19-9,32,9,8,0,0,1,5,11,.344,8,2,11,0,.419,1,1,0-0,
Joseph,Salvo,SAM..........,.250,14-8,20,5,5,0,0,0,1,5,.250,4,3,6,4,.444,0,2,0-0,
Braylen,Hayes,UNCG........,.250,9-3,12,1,3,0,0,0,0,3,.250,3,1,8,0,.438,0,0,3-3,
Alex,Nevils,WOF...........,.250,7-2,8,1,2,0,0,0,2,2,.250,3,0,3,1,.455,0,0,0-0,
Kain,Collins,ETSU.........,.250,10-0,4,5,1,0,0,0,1,1,.250,0,0,2,0,.250,0,0,1-1,
Gunnar,Johnson,WOF........,.245,35-33,110,22,27,5,0,7,39,53,.482,22,4,32,3,.384,2,3,2-3,
Eli,Runyan,MER............,.241,35-20,79,10,19,4,0,4,17,35,.443,8,2,24,0,.322,1,3,0-0,
Andrew,Mannelly,WOF.......,.237,40-19,76,13,18,5,2,4,21,39,.513,9,1,31,1,.326,0,4,2-2,
Aaron,Walton,SAM..........,.233,35-23,90,17,21,5,0,6,21,44,.489,15,1,29,5,.346,1,0,2-3,
Ryan,McCarthy,ETSU........,.233,26-22,73,12,17,7,0,1,12,27,.370,9,1,17,0,.314,3,3,0-0,
Ben,Schulte,WOF...........,.231,21-12,52,6,12,4,0,1,4,19,.365,7,4,20,1,.365,0,1,1-2,
Kyle,Harbison,WCU.........,.228,38-32,101,18,23,2,0,1,12,28,.277,18,2,23,1,.350,2,2,0-1,
Matthew,Wright,VMI........,.222,8-3,9,4,2,0,0,0,3,2,.222,1,1,7,0,.333,1,1,0-0,
Luke,Holland,UNCG.........,.222,19-2,9,3,2,1,0,0,1,3,.333,2,0,6,0,.364,0,0,1-1,
Hayden,Perry,SAM..........,.217,10-6,23,1,5,3,0,0,0,8,.348,2,0,6,0,.280,0,0,0-0,
Hayden,Friese,WCU.........,.214,11-2,14,3,3,1,0,0,2,4,.286,2,2,5,0,.389,0,0,0-0,
Dylan,Costa,CIT...........,.211,41-33,95,17,20,1,0,0,10,21,.221,25,0,13,1,.375,0,9,3-4,
Kenny,Leiner,WCU..........,.211,16-4,19,2,4,1,0,0,1,5,.263,9,2,7,1,.500,0,2,0-0,
Marshall,Awtry,ETSU.......,.210,24-18,62,9,13,3,1,5,11,33,.532,11,0,17,1,.329,0,0,1-1,
Drew,Needham,WCU..........,.209,42-24,91,15,19,3,0,5,18,37,.407,14,7,42,1,.357,0,0,0-0,
Ben,Olson,MER.............,.208,27-15,48,9,10,3,0,2,11,19,.396,6,7,12,0,.365,2,1,1-1,
Aaron,Thomas,WOF..........,.200,22-11,35,8,7,0,0,4,8,19,.543,7,1,12,3,.341,1,1,1-1,
Maurice,Hampton,SAM.......,.200,4-3,10,1,2,1,0,0,2,3,.300,0,0,4,0,.182,1,0,2-2,
Grant,Aycock,UNCG.........,.200,5-4,10,2,2,0,0,0,1,2,.200,1,1,4,0,.333,0,1,0-0,
Jeremy,Wolf,UNCG..........,.197,33-11,61,12,12,5,0,0,6,17,.279,5,2,23,1,.279,0,1,1-1,
Landon,Underhill,MER......,.195,21-7,41,9,8,0,1,0,3,10,.244,2,5,13,2,.306,1,2,0-0,
Leo,Jiminian,ETSU.........,.189,18-11,37,4,7,2,1,1,8,14,.378,7,1,6,0,.326,1,3,1-1,
Clay,Wilson,CIT...........,.188,19-2,16,5,3,0,0,1,1,6,.375,1,0,4,0,.235,0,0,0-2,
Jared,Paladino,ETSU.......,.184,24-12,49,8,9,1,0,0,4,10,.204,9,2,5,4,.328,1,0,0-0,
Garrett,Dill,CIT..........,.172,27-14,58,7,10,4,0,1,10,17,.293,9,2,20,1,.300,1,1,2-2,
Blake,Bortak,SAM..........,.167,21-11,36,8,6,2,0,1,5,11,.306,3,1,14,0,.250,0,2,2-2,
Owen,Prince,VMI...........,.167,20-9,30,4,5,0,0,0,2,5,.167,7,0,9,1,.324,0,4,2-2,
Chase,Loggins,CIT.........,.143,26-14,56,7,8,3,1,0,8,13,.232,7,2,23,2,.254,2,0,3-3,
Kace,Garner,SAM...........,.143,19-8,35,6,5,0,0,1,5,8,.229,2,1,12,0,.211,0,0,0-0,
Blake,Schmitt,MER.........,.143,10-0,7,0,1,0,0,0,1,1,.143,0,1,3,0,.250,0,0,0-0,
Phillips,Daniels,CIT......,.133,14-4,15,1,2,0,0,0,1,2,.133,3,1,6,1,.316,0,0,0-0,
Connor,Larson,WOF.........,.132,22-10,38,13,5,0,1,0,4,7,.184,5,8,11,1,.353,0,6,3-4,
Conner,Todaro,MER.........,.125,45-4,24,13,3,1,0,0,1,4,.167,6,2,9,0,.344,0,3,1-1,
Andrew,Calhoun,WOF.......,.111,7-6,18,2,2,1,0,0,1,3,.167,1,3,7,0,.273,0,0,1-1,
Matthew,Strand,SAM........,.111,8-3,9,2,1,0,0,0,0,1,.111,3,0,6,0,.333,0,0,0-0,
Ethan,McKay,UNCG..........,.091,27-3,22,1,2,0,0,0,0,2,.091,1,1,10,0,.167,0,0,1-1,
Matt,Kemp,UNCG............,.053,17-2,19,1,1,0,0,0,1,1,.053,4,0,8,0,.208,1,0,1-1,
Parker,McDonald,SAM.......,.000,15-3,13,3,0,0,0,0,1,0,.000,2,1,8,0,.188,0,2,1-1,
Brayden,Broome,SAM........,.000,14-2,11,3,0,0,0,0,1,0,.000,0,0,6,0,.000,0,0,1-1,
Aryan,Patel,CIT...........,.000,6-1,8,1,0,0,0,0,1,0,.000,2,0,4,0,.200,0,0,1-1,
Mason,Mozeley,UNCG........,.000,14-0,7,1,0,0,0,0,1,0,.000,3,0,3,0,.273,1,0,0-0,
Jacob,Budzik,UNCG.........,.000,21-1,7,7,0,0,0,0,0,0,.000,0,0,5,0,.000,0,0,4-6,
Addison,Clark,VMI.........,.000,6-1,6,1,0,0,0,0,0,0,.000,2,1,6,0,.333,0,1,2-2,
Kazuya,Jordan,VMI.........,.000,24-1,5,1,0,0,0,0,0,0,.000,2,0,4,0,.286,0,1,4-4,
Shane,Lussier,WOF........,.000,21-0,4,9,0,0,0,0,0,0,.000,1,1,1,0,.333,0,0,3-3,
Gray,Sobel,CIT............,.000,5-0,4,0,0,0,0,0,0,0,.000,0,0,3,0,.000,0,0,0-0,
Will,Riley,VMI............,.000,2-0,2,0,0,0,0,0,0,0,.000,0,0,2,0,.000,0,0,0-0,
Antonio,Colon,CIT.........,.000,2-0,2,0,0,0,0,0,0,0,.000,0,0,2,0,.000,0,0,0-0,
Cooper,Erikson,WOF........,.000,3-0,1,0,0,0,0,0,0,0,.000,0,1,1,0,.500,0,0,0-0,
Trevor,Sheehan,ETSU.......,.000,1-0,0,0,0,0,0,0,0,0,.000,0,1,0,0,1.000,0,0,0-0,
Stan,Zagrodnik,WOF........,.000,13-0,0,4,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,1-1,
Jake,Wolf,UNCG............,.000,1-0,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0-0,
Tom,Brosnahan,WCU.........,.000,2-0,0,1,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0-0,
Hunter,Shuey,UNCG.........,.000,1-0,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0-0,
