FirstName,LastName,Team,ERA,W-L,APP,GS,CG,SHO/CBO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/Avg,WP,HBP,BK,
Lucas,Mahlstedt,WOF.......,2.69,7-2,27,0,0,0/1,6,83.2,72,26,25,18,68,17,0,7,301,.239,2,6,1,
Jacob,Cravey,SAM..........,3.10,9-2,17,16,3,0/0,1,104.2,83,42,36,40,126,6,2,14,379,.219,7,7,1,
Nathanial,Tate,ETSU.......,3.56,9-4,16,16,5,3/2,0,93.2,71,40,37,44,97,11,0,8,335,.212,6,11,0,
Cameron,Reeves,CIT........,3.56,7-5,14,14,1,1/0,0,81.0,59,34,32,33,68,8,4,8,294,.201,3,8,1,
Sam,Swygert,CIT...........,4.54,5-4,17,12,1,0/0,0,67.1,71,42,34,28,59,12,3,9,258,.275,2,6,0,
Matthew,Marchal,WOF.......,4.58,11-4,20,19,2,0/1,1,92.1,92,56,47,22,93,21,5,17,368,.250,8,3,1,
Coulson,Buchanan,WOF......,5.22,5-4,20,18,1,0/0,0,91.1,95,53,53,26,91,21,2,17,355,.268,7,6,2,
Colby,Stuart,ETSU.........,5.45,1-6,18,7,1,0/0,0,66.0,70,44,40,20,48,9,2,11,255,.275,8,6,0,
Nathan,Light,VMI..........,5.61,3-3,16,8,0,0/0,1,59.1,69,39,37,23,41,14,1,10,236,.292,5,1,0,
Jay,Miller,UNCG...........,5.76,2-8,18,15,0,0/1,0,75.0,95,60,48,29,44,20,2,13,297,.320,5,12,2,
Jake,Wolf,UNCG............,5.77,4-2,27,1,0,0/0,1,73.1,82,57,47,46,40,8,2,12,278,.295,7,10,1,
Brody,Westbrooks,SAM......,5.83,3-4,17,15,0,0/1,0,75.2,94,52,49,25,72,12,1,20,305,.308,4,8,0,
Josh,Farmer,MER...........,5.96,6-3,15,15,2,0/0,0,77.0,94,61,51,15,43,22,2,15,311,.302,2,2,0,
Will,Lynch,SAM............,6.09,5-4,16,16,0,0/1,0,78.1,81,61,53,40,65,11,2,10,298,.272,9,16,0,
Landon,Smiddy,ETSU........,6.61,3-7,17,13,0,0/0,0,62.2,86,49,46,20,43,15,5,7,261,.330,7,0,1,
Colton,Cosper,MER.........,6.61,4-5,17,11,1,0/0,0,64.0,85,49,47,24,58,12,1,10,252,.337,2,6,1,
Ryan,Lobus,MER............,6.96,5-4,17,11,0,0/0,2,63.1,68,52,49,29,74,9,1,11,250,.272,4,16,0,
Simon,Graf,CIT............,0.00,0-0,2,0,0,0/0,0,1.0,1,0,0,0,0,0,0,0,4,.250,0,0,0,
Brandon,Gielow,CIT........,0.00,0-0,2,0,0,0/0,0,0.1,0,1,0,2,1,0,0,0,1,.000,0,0,0,
Clay,Cox,WCU..............,0.00,0-0,1,0,0,0/0,0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,
Will,Lopez,VMI............,1.42,1-0,2,2,0,0/1,0,6.1,4,2,1,1,7,1,0,1,23,.174,1,0,0,
Carson,Hobbs,SAM..........,1.59,1-1,6,1,0,0/0,2,11.1,5,2,2,6,18,1,1,1,37,.135,0,2,0,
Josh,Harlow,MER...........,2.15,4-1,7,5,0,0/0,0,29.1,21,8,7,8,35,6,0,4,104,.202,1,5,0,
Hunter,Shuey,UNCG.........,2.38,0-0,3,2,0,0/0,0,11.1,9,4,3,8,10,2,0,0,40,.225,1,4,0,
Ryder,Moye,WOF............,2.61,0-0,11,0,0,0/0,0,10.1,7,3,3,4,9,4,0,0,36,.194,2,3,0,
Cade,Carlson,ETSU.........,3.25,5-2,17,5,2,1/0,0,52.2,43,26,19,21,45,10,0,8,194,.222,4,3,0,
Will,Holmes,CIT...........,3.56,2-5,20,5,0,0/0,1,48.0,44,24,19,40,53,9,1,0,180,.244,7,4,0,
Heath,Clevenger,SAM.......,3.78,1-1,9,1,0,0/0,0,16.2,10,7,7,9,14,0,1,0,53,.189,1,1,0,
Ryan,White,WCU............,3.86,5-0,21,1,0,0/0,0,30.1,29,18,13,19,15,8,1,2,111,.261,1,7,0,
Ben,Petschke,SAM..........,4.14,6-3,32,0,0,0/2,14,54.1,60,29,25,35,62,3,0,3,217,.276,4,5,0,
JT,Inskeep,VMI............,4.24,4-0,6,4,0,0/1,1,17.0,18,10,8,3,12,4,0,3,66,.273,0,0,0,
Cole,Beverlin,WCU.........,4.30,0-0,14,0,0,0/0,0,14.2,17,18,7,5,9,2,0,5,61,.279,1,4,0,
Nick,Torres,WCU...........,4.42,3-3,16,4,0,0/0,0,38.2,46,23,19,11,32,7,0,8,159,.289,3,1,1,
Holden,Wilder,WOF.........,4.66,0-0,11,0,0,0/0,0,9.2,11,5,5,6,5,1,0,1,38,.289,3,2,0,
Julien,Peissel,UNCG.......,4.67,2-4,19,6,0,0/1,0,54.0,57,31,28,13,29,10,0,10,202,.282,2,6,2,
Branton,Little,WOF........,4.67,3-0,10,0,0,0/0,0,17.1,21,10,9,5,16,6,1,0,68,.309,4,3,0,
Landon,Henley,WCU.........,4.70,0-0,9,0,0,0/0,0,7.2,8,4,4,1,9,4,0,0,29,.276,0,0,0,
Matt,Schepel,WCU..........,4.75,2-1,7,7,0,0/0,0,30.1,38,18,16,4,28,4,1,8,123,.309,1,0,0,
Jack,Thompson,VMI.........,4.78,0-1,25,0,0,0/0,0,32.0,34,25,17,11,26,7,0,3,126,.270,3,13,0,
Adam,Quincy,WCU...........,4.91,0-1,18,0,0,0/0,0,22.0,20,12,12,12,10,3,1,2,82,.244,5,2,1,
Ben,Hutchins,CIT..........,5.05,4-3,10,10,0,0/0,0,46.1,58,27,26,18,40,11,2,7,190,.305,4,3,0,
Coby,Ingle,WCU............,5.19,0-3,18,4,0,0/0,2,34.2,38,24,20,18,22,9,0,7,144,.264,3,5,0,
George,Derrick,Flo,CIT....,5.26,0-3,21,3,0,0/0,3,37.2,43,26,22,15,27,11,1,2,145,.297,3,5,0,
Ryan,Rouse,UNCG...........,5.30,2-0,10,1,0,0/1,0,18.2,12,12,11,18,22,5,0,3,63,.190,7,4,0,
Austin,Emener,ETSU........,5.40,2-4,15,8,0,0/1,1,53.1,62,44,32,40,62,10,2,8,219,.283,6,2,0,
Rob,Ready,UNCG............,5.44,2-0,23,4,0,0/0,0,41.1,48,28,25,21,19,10,1,3,160,.300,5,4,0,
Holton,McGaha,MER.........,5.52,4-2,22,0,0,0/0,2,31.0,27,20,19,19,35,4,0,6,117,.231,2,2,0,
Gant,Starling,CIT.........,5.52,2-2,23,2,0,0/0,3,44.0,40,29,27,33,57,8,0,4,162,.247,2,10,0,
Dylan,Wheeler,WCU.........,5.53,3-2,15,4,0,0/1,0,27.2,29,20,17,20,27,9,0,6,106,.274,2,2,0,
Ty,Barker,VMI.............,5.56,0-0,12,0,0,0/0,0,11.1,9,9,7,15,10,1,0,2,43,.209,2,4,0,
Trey,Morgan,VMI...........,5.58,2-2,16,6,0,0/0,2,40.1,56,30,25,16,22,10,1,3,166,.337,1,6,2,
Luke,Thomas,UNCG..........,5.69,4-4,22,4,0,0/1,3,55.1,69,45,35,20,50,11,1,11,224,.308,4,3,0,
Derek,McCarley,ETSU.......,5.76,2-1,18,1,0,0/1,3,25.0,33,19,16,16,39,7,1,4,102,.324,3,3,0,
Alex,LaRou,VMI............,5.87,0-0,9,0,0,0/0,0,7.2,5,5,5,13,9,2,0,0,24,.208,3,5,0,
Charlie,Weber,WOF.........,5.89,3-1,15,15,0,0/0,0,55.0,63,39,36,11,47,7,1,15,222,.284,3,4,1,
